,Name,Age,Total Pull Requests,Total Releases,Updated,Primary Language,Closed Issues,Total Issues
484,transloadit/uppy,2302,1669,11,340.0,JavaScript,1636,1701
485,facebookresearch/Detectron,1613,0,0,399.0,Python,614,914
486,Anduin2017/HowToCook,736,248,0,14.0,JavaScript,119,304
487,dbeaver/dbeaver,2328,2231,147,13.0,Java,10763,12188
488,xkcoding/spring-boot-demo,1577,14,0,256.0,Java,71,139
489,mobxjs/mobx,2549,965,69,188.0,TypeScript,1772,1784
490,jgm/pandoc,4369,1278,108,125.0,Haskell,5434,6174
491,donnemartin/interactive-coding-challenges,2504,176,0,236.0,Python,29,62
492,cheeriojs/cheerio,3801,953,55,176.0,TypeScript,1033,1053
493,geekcomputers/Python,3749,995,0,79.0,Python,94,244
494,trailofbits/algo,2121,493,2,148.0,Jinja,1372,1471
495,geekcompany/ResumeSample,2736,2,0,200.0,None,0,0
496,nylas/nylas-mail,2698,139,53,624.0,JavaScript,2434,3420
497,harness/drone,2949,935,17,233.0,Go,0,0
498,rust-unofficial/awesome-rust,2789,979,0,46.0,Rust,91,104
499,GitbookIO/gitbook,2897,214,0,69.0,JavaScript,0,0
500,codemirror/CodeMirror,4069,546,158,17.0,JavaScript,3639,4054
501,Dreamacro/clash,1365,218,41,152.0,Go,1265,1319
502,chakra-ui/chakra-ui,932,1675,1585,68.0,TypeScript,2310,2427
503,realpython/python-guide,4009,676,0,147.0,Batchfile,173,261
504,SortableJS/Sortable,2999,241,23,165.0,JavaScript,1262,1610
505,hashicorp/consul,3044,6591,92,67.0,Go,3809,4743
506,odoo/odoo,2854,6131,0,72.0,JavaScript,12663,14795
507,0xAX/linux-insides,2619,541,0,350.0,Python,132,173
508,fengdu78/Coursera-ML-AndrewNg-Notes,1583,9,0,477.0,HTML,14,60
509,JedWatson/react-select,2749,947,29,289.0,TypeScript,3085,3239
510,topjohnwu/Magisk,2005,940,122,6.0,C++,3943,3982
511,GoogleChrome/lighthouse,2189,4184,83,90.0,JavaScript,7670,8158
512,CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,3338,239,0,192.0,Jupyter Notebook,87,232
513,alibaba/fastjson,3776,411,83,625.0,Java,1570,3229
514,ajaxorg/ace,4148,1405,0,34.0,JavaScript,1903,2709
515,johnpapa/angular-styleguide,2777,331,0,625.0,None,361,424
516,ageron/handson-ml,2210,54,0,160.0,Jupyter Notebook,429,545
517,bannedbook/fanqiang,2608,2,13,378.0,Kotlin,387,635
518,SDWebImage/SDWebImage,4549,800,105,52.0,Objective-C,2012,2097
519,rstacruz/nprogress,3120,34,7,149.0,JavaScript,48,141
520,qiurunze123/miaosha,1269,16,0,382.0,Java,38,67
521,goabstract/Awesome-Design-Tools,1118,283,0,25.0,JavaScript,25,26
522,Automattic/mongoose,4352,1581,21,360.0,JavaScript,8916,9239
523,tmux/tmux,2468,1,33,32.0,C,2607,2631
524,iview/iview,2047,526,85,298.0,Vue,4454,5537
525,microsoft/calculator,1133,719,0,149.0,C++,616,862
526,curl/curl,4371,148,57,10.0,C,3178,3195
527,youngyangyang04/leetcode-master,813,927,0,6.0,None,31,97
528,cockroachdb/cockroach,2950,34280,0,62.0,Go,34932,39051
529,greenrobot/EventBus,3520,31,7,383.0,Java,455,559
530,parallax/jsPDF,4473,699,32,257.0,JavaScript,2084,2181
531,jobbole/awesome-python-cn,2315,51,0,580.0,Makefile,16,24
532,ycm-core/YouCompleteMe,3611,704,0,209.0,Python,3072,3099
533,ianstormtaylor/slate,2087,1494,68,122.0,TypeScript,2324,2789
534,remy/nodemon,4172,280,81,415.0,JavaScript,1469,1503
535,YMFE/yapi,2106,140,1,152.0,JavaScript,875,2238
536,hashicorp/vault,2566,8244,45,297.0,Go,3910,4751
537,halfrost/LeetCode-Go,1692,157,4,11.0,Go,47,57
538,pcottle/learnGitBranching,3492,472,0,243.0,JavaScript,382,392
539,terryum/awesome-deep-learning-papers,2102,39,0,258.0,TeX,11,26
540,ccxt/ccxt,1757,4742,0,97.0,JavaScript,6140,6650
541,CMU-Perceptual-Computing-Lab/openpose,1777,153,15,387.0,C++,1627,1757
542,akveo/ngx-admin,2111,325,18,1162.0,TypeScript,1299,1682
